,path,plate_pattern
0,train/HEPG2-01/Plate1/B03_s1,0
1,train/HEPG2-01/Plate1/B04_s1,0
2,train/HEPG2-01/Plate1/B05_s1,0
3,train/HEPG2-01/Plate1/B06_s1,0
4,train/HEPG2-01/Plate1/B07_s1,0
5,train/HEPG2-01/Plate1/B08_s1,0
6,train/HEPG2-01/Plate1/B09_s1,0
7,train/HEPG2-01/Plate1/B10_s1,0
8,train/HEPG2-01/Plate1/B11_s1,0
9,train/HEPG2-01/Plate1/B12_s1,0
10,train/HEPG2-01/Plate1/B13_s1,0
11,train/HEPG2-01/Plate1/B14_s1,0
12,train/HEPG2-01/Plate1/B15_s1,0
13,train/HEPG2-01/Plate1/B16_s1,0
14,train/HEPG2-01/Plate1/B17_s1,0
15,train/HEPG2-01/Plate1/B18_s1,0
16,train/HEPG2-01/Plate1/B19_s1,0
17,train/HEPG2-01/Plate1/B20_s1,0
18,train/HEPG2-01/Plate1/B21_s1,0
19,train/HEPG2-01/Plate1/B22_s1,0
20,train/HEPG2-01/Plate1/B23_s1,0
21,train/HEPG2-01/Plate1/C02_s1,0
22,train/HEPG2-01/Plate1/C04_s1,0
23,train/HEPG2-01/Plate1/C05_s1,0
24,train/HEPG2-01/Plate1/C06_s1,0
25,train/HEPG2-01/Plate1/C08_s1,0
26,train/HEPG2-01/Plate1/C09_s1,0
27,train/HEPG2-01/Plate1/C10_s1,0
28,train/HEPG2-01/Plate1/C12_s1,0
29,train/HEPG2-01/Plate1/C13_s1,0
30,train/HEPG2-01/Plate1/C14_s1,0
31,train/HEPG2-01/Plate1/C16_s1,0
32,train/HEPG2-01/Plate1/C17_s1,0
33,train/HEPG2-01/Plate1/C18_s1,0
34,train/HEPG2-01/Plate1/C20_s1,0
35,train/HEPG2-01/Plate1/C21_s1,0
36,train/HEPG2-01/Plate1/C23_s1,0
37,train/HEPG2-01/Plate1/D02_s1,0
38,train/HEPG2-01/Plate1/D03_s1,0
39,train/HEPG2-01/Plate1/D04_s1,0
40,train/HEPG2-01/Plate1/D05_s1,0
41,train/HEPG2-01/Plate1/D06_s1,0
42,train/HEPG2-01/Plate1/D07_s1,0
43,train/HEPG2-01/Plate1/D08_s1,0
44,train/HEPG2-01/Plate1/D09_s1,0
45,train/HEPG2-01/Plate1/D10_s1,0
46,train/HEPG2-01/Plate1/D11_s1,0
47,train/HEPG2-01/Plate1/D12_s1,0
48,train/HEPG2-01/Plate1/D13_s1,0
49,train/HEPG2-01/Plate1/D14_s1,0
50,train/HEPG2-01/Plate1/D15_s1,0
51,train/HEPG2-01/Plate1/D16_s1,0
52,train/HEPG2-01/Plate1/D17_s1,0
53,train/HEPG2-01/Plate1/D18_s1,0
54,train/HEPG2-01/Plate1/D19_s1,0
55,train/HEPG2-01/Plate1/D20_s1,0
56,train/HEPG2-01/Plate1/D21_s1,0
57,train/HEPG2-01/Plate1/D22_s1,0
58,train/HEPG2-01/Plate1/D23_s1,0
59,train/HEPG2-01/Plate1/E02_s1,0
60,train/HEPG2-01/Plate1/E03_s1,0
61,train/HEPG2-01/Plate1/E04_s1,0
62,train/HEPG2-01/Plate1/E05_s1,0
63,train/HEPG2-01/Plate1/E06_s1,0
64,train/HEPG2-01/Plate1/E07_s1,0
65,train/HEPG2-01/Plate1/E08_s1,0
66,train/HEPG2-01/Plate1/E09_s1,0
67,train/HEPG2-01/Plate1/E10_s1,0
68,train/HEPG2-01/Plate1/E11_s1,0
69,train/HEPG2-01/Plate1/E12_s1,0
70,train/HEPG2-01/Plate1/E13_s1,0
71,train/HEPG2-01/Plate1/E14_s1,0
72,train/HEPG2-01/Plate1/E15_s1,0
73,train/HEPG2-01/Plate1/E16_s1,0
74,train/HEPG2-01/Plate1/E17_s1,0
75,train/HEPG2-01/Plate1/E18_s1,0
76,train/HEPG2-01/Plate1/E19_s1,0
77,train/HEPG2-01/Plate1/E20_s1,0
78,train/HEPG2-01/Plate1/E21_s1,0
79,train/HEPG2-01/Plate1/E22_s1,0
80,train/HEPG2-01/Plate1/E23_s1,0
81,train/HEPG2-01/Plate1/F02_s1,0
82,train/HEPG2-01/Plate1/F04_s1,0
83,train/HEPG2-01/Plate1/F05_s1,0
84,train/HEPG2-01/Plate1/F06_s1,0
85,train/HEPG2-01/Plate1/F08_s1,0
86,train/HEPG2-01/Plate1/F09_s1,0
87,train/HEPG2-01/Plate1/F10_s1,0
88,train/HEPG2-01/Plate1/F12_s1,0
89,train/HEPG2-01/Plate1/F13_s1,0
90,train/HEPG2-01/Plate1/F14_s1,0
91,train/HEPG2-01/Plate1/F16_s1,0
92,train/HEPG2-01/Plate1/F17_s1,0
93,train/HEPG2-01/Plate1/F18_s1,0
94,train/HEPG2-01/Plate1/F20_s1,0
95,train/HEPG2-01/Plate1/F21_s1,0
96,train/HEPG2-01/Plate1/F23_s1,0
97,train/HEPG2-01/Plate1/G02_s1,0
98,train/HEPG2-01/Plate1/G03_s1,0
99,train/HEPG2-01/Plate1/G04_s1,0
100,train/HEPG2-01/Plate1/G05_s1,0
101,train/HEPG2-01/Plate1/G06_s1,0
102,train/HEPG2-01/Plate1/G07_s1,0
103,train/HEPG2-01/Plate1/G08_s1,0
104,train/HEPG2-01/Plate1/G09_s1,0
105,train/HEPG2-01/Plate1/G10_s1,0
106,train/HEPG2-01/Plate1/G11_s1,0
107,train/HEPG2-01/Plate1/G12_s1,0
108,train/HEPG2-01/Plate1/G13_s1,0
109,train/HEPG2-01/Plate1/G14_s1,0
110,train/HEPG2-01/Plate1/G15_s1,0
111,train/HEPG2-01/Plate1/G16_s1,0
112,train/HEPG2-01/Plate1/G17_s1,0
113,train/HEPG2-01/Plate1/G18_s1,0
114,train/HEPG2-01/Plate1/G19_s1,0
115,train/HEPG2-01/Plate1/G20_s1,0
116,train/HEPG2-01/Plate1/G21_s1,0
117,train/HEPG2-01/Plate1/G22_s1,0
118,train/HEPG2-01/Plate1/G23_s1,0
119,train/HEPG2-01/Plate1/H02_s1,0
120,train/HEPG2-01/Plate1/H04_s1,0
121,train/HEPG2-01/Plate1/H05_s1,0
122,train/HEPG2-01/Plate1/H06_s1,0
123,train/HEPG2-01/Plate1/H08_s1,0
124,train/HEPG2-01/Plate1/H09_s1,0
125,train/HEPG2-01/Plate1/H10_s1,0
126,train/HEPG2-01/Plate1/H12_s1,0
127,train/HEPG2-01/Plate1/H13_s1,0
128,train/HEPG2-01/Plate1/H14_s1,0
129,train/HEPG2-01/Plate1/H16_s1,0
130,train/HEPG2-01/Plate1/H17_s1,0
131,train/HEPG2-01/Plate1/H18_s1,0
132,train/HEPG2-01/Plate1/H20_s1,0
133,train/HEPG2-01/Plate1/H21_s1,0
134,train/HEPG2-01/Plate1/H23_s1,0
135,train/HEPG2-01/Plate1/I02_s1,0
136,train/HEPG2-01/Plate1/I03_s1,0
137,train/HEPG2-01/Plate1/I04_s1,0
138,train/HEPG2-01/Plate1/I05_s1,0
139,train/HEPG2-01/Plate1/I06_s1,0
140,train/HEPG2-01/Plate1/I07_s1,0
141,train/HEPG2-01/Plate1/I08_s1,0
142,train/HEPG2-01/Plate1/I09_s1,0
143,train/HEPG2-01/Plate1/I10_s1,0
144,train/HEPG2-01/Plate1/I11_s1,0
145,train/HEPG2-01/Plate1/I12_s1,0
146,train/HEPG2-01/Plate1/I13_s1,0
147,train/HEPG2-01/Plate1/I14_s1,0
148,train/HEPG2-01/Plate1/I15_s1,0
149,train/HEPG2-01/Plate1/I16_s1,0
150,train/HEPG2-01/Plate1/I17_s1,0
151,train/HEPG2-01/Plate1/I18_s1,0
152,train/HEPG2-01/Plate1/I19_s1,0
153,train/HEPG2-01/Plate1/I20_s1,0
154,train/HEPG2-01/Plate1/I21_s1,0
155,train/HEPG2-01/Plate1/I22_s1,0
156,train/HEPG2-01/Plate1/I23_s1,0
157,train/HEPG2-01/Plate1/J02_s1,0
158,train/HEPG2-01/Plate1/J04_s1,0
159,train/HEPG2-01/Plate1/J05_s1,0
160,train/HEPG2-01/Plate1/J06_s1,0
161,train/HEPG2-01/Plate1/J08_s1,0
162,train/HEPG2-01/Plate1/J09_s1,0
163,train/HEPG2-01/Plate1/J10_s1,0
164,train/HEPG2-01/Plate1/J12_s1,0
165,train/HEPG2-01/Plate1/J13_s1,0
166,train/HEPG2-01/Plate1/J14_s1,0
167,train/HEPG2-01/Plate1/J16_s1,0
168,train/HEPG2-01/Plate1/J17_s1,0
169,train/HEPG2-01/Plate1/J18_s1,0
170,train/HEPG2-01/Plate1/J20_s1,0
171,train/HEPG2-01/Plate1/J21_s1,0
172,train/HEPG2-01/Plate1/J23_s1,0
173,train/HEPG2-01/Plate1/K02_s1,0
174,train/HEPG2-01/Plate1/K03_s1,0
175,train/HEPG2-01/Plate1/K04_s1,0
176,train/HEPG2-01/Plate1/K05_s1,0
177,train/HEPG2-01/Plate1/K06_s1,0
178,train/HEPG2-01/Plate1/K07_s1,0
179,train/HEPG2-01/Plate1/K08_s1,0
180,train/HEPG2-01/Plate1/K09_s1,0
181,train/HEPG2-01/Plate1/K10_s1,0
182,train/HEPG2-01/Plate1/K11_s1,0
183,train/HEPG2-01/Plate1/K12_s1,0
184,train/HEPG2-01/Plate1/K13_s1,0
185,train/HEPG2-01/Plate1/K14_s1,0
186,train/HEPG2-01/Plate1/K15_s1,0
187,train/HEPG2-01/Plate1/K16_s1,0
188,train/HEPG2-01/Plate1/K17_s1,0
