sirna,group
1,1
3,1
5,1
6,1
8,1
10,1
26,1
33,1
40,1
46,1
48,1
55,1
56,1
59,1
70,1
74,1
77,1
80,1
88,1
89,1
91,1
94,1
102,1
105,1
109,1
112,1
113,1
124,1
126,1
133,1
136,1
144,1
147,1
155,1
157,1
158,1
162,1
172,1
177,1
181,1
188,1
192,1
195,1
203,1
211,1
212,1
217,1
221,1
222,1
224,1
238,1
239,1
242,1
253,1
254,1
256,1
258,1
266,1
268,1
272,1
274,1
276,1
277,1
281,1
282,1
287,1
290,1
293,1
295,1
296,1
301,1
302,1
308,1
309,1
312,1
313,1
320,1
324,1
339,1
340,1
341,1
345,1
346,1
348,1
350,1
352,1
355,1
360,1
361,1
366,1
371,1
372,1
373,1
379,1
385,1
388,1
389,1
391,1
392,1
395,1
397,1
398,1
399,1
400,1
411,1
413,1
415,1
417,1
431,1
436,1
439,1
442,1
445,1
450,1
456,1
459,1
460,1
471,1
478,1
481,1
482,1
486,1
489,1
497,1
500,1
503,1
505,1
506,1
508,1
513,1
514,1
523,1
532,1
537,1
538,1
541,1
543,1
547,1
549,1
552,1
555,1
556,1
557,1
559,1
565,1
566,1
567,1
572,1
576,1
577,1
581,1
582,1
585,1
588,1
598,1
604,1
605,1
606,1
607,1
611,1
613,1
618,1
620,1
622,1
624,1
626,1
647,1
653,1
655,1
657,1
660,1
670,1
673,1
676,1
681,1
687,1
689,1
692,1
695,1
699,1
700,1
703,1
704,1
705,1
708,1
715,1
734,1
742,1
743,1
744,1
745,1
750,1
757,1
760,1
762,1
764,1
765,1
770,1
775,1
784,1
786,1
791,1
793,1
797,1
798,1
806,1
810,1
811,1
825,1
828,1
831,1
838,1
840,1
845,1
847,1
853,1
868,1
870,1
875,1
877,1
881,1
883,1
884,1
889,1
890,1
891,1
894,1
897,1
900,1
907,1
910,1
914,1
921,1
938,1
939,1
945,1
950,1
959,1
960,1
962,1
972,1
974,1
978,1
981,1
982,1
983,1
984,1
986,1
987,1
1006,1
1008,1
1013,1
1015,1
1020,1
1023,1
1025,1
1027,1
1028,1
1031,1
1039,1
1041,1
1042,1
1056,1
1060,1
1062,1
1065,1
1066,1
1067,1
1076,1
1084,1
1089,1
1096,1
1100,1
1101,1
1102,1
1104,1
1106,1
2,2
7,2
11,2
19,2
20,2
22,2
25,2
27,2
28,2
41,2
42,2
43,2
44,2
47,2
52,2
57,2
60,2
61,2
63,2
64,2
66,2
72,2
75,2
78,2
81,2
83,2
87,2
92,2
93,2
95,2
100,2
101,2
108,2
111,2
117,2
118,2
130,2
131,2
132,2
138,2
146,2
149,2
153,2
160,2
164,2
165,2
166,2
169,2
175,2
178,2
182,2
189,2
194,2
196,2
206,2
207,2
216,2
218,2
219,2
225,2
228,2
232,2
233,2
236,2
245,2
257,2
262,2
263,2
269,2
284,2
285,2
299,2
303,2
305,2
315,2
317,2
327,2
329,2
330,2
333,2
334,2
336,2
342,2
